original_object	original_description	gpt_simplification
pianeta (elemento d'insieme)	Pianeta confezionata in tela di seta viola con ricamo in filo d'argento eseguito a punto erba, punto lanciato, punto stuoia e altri. Ampie volute fogliacee con grandi fiori frastagliati fan quasi cornice alla successione dei canestri con mazzi di fiori nella zona centrale. Gallone ricamato con motivo a graffe di foglie nei bordi, ramoscelli intrecciati a nastro nel centro	Pianeta in seta viola con ricamo in argento. Disegno con foglie e fiori intorno a canestri di fiori. Gallone ricamato con foglie e ramoscelli.
decorazione a intaglio (serie)	Le quattro formelle raffigurano gli evangelisti	Quattro formelle con gli evangelisti.
decorazione a intaglio	Raffigura un interno; in primo piano le ancelle intente a lavare la neonata. Sullo sfondo si vede sant'Anna nel letto	Interno con ancelle che lavano una neonata. Sant'Anna nel letto sullo sfondo.
dipinto (elemento d'insieme)	Occupa la cupola del presbiterio. Raffigura la Madonna portata in cielo dagli angeli	Cupola del presbiterio con Madonna portata in cielo dagli angeli.
dipinto (elemento d'insieme)	Occupa la volta della navata principale; raffigura la Trinità affiancata dalle virtù teologali e dai dottori della chiesa	Volta della navata principale con Trinità, virtù teologali e dottori della chiesa.
dipinto (elemento d'insieme)	Entro una cornice polilobata è raffigurata la Nascita della Vergine	Cornice polilobata con la Nascita della Vergine.
dipinto (elemento d'insieme)	Entro una cornice polilobata è raffigurata la Pentecoste	Cornice polilobata con la Pentecoste.
dipinto	Raffigura il Cristo trascinato da soldati e carnefici; sulla destra un cane ringhia al suo passaggio	Cristo trascinato da soldati e carnefici, un cane ringhia a destra.
dipinto	Raffigura il Cristo seduto che viene spogliato dai carnefici ed abbeverato di fiele	Cristo seduto viene spogliato dai carnefici e gli danno da bere fiele.
dipinto	Raffigura il Cristo che viene inchiodato alla croce; sullo sfondo si vedono la Madonna e le donne dolenti	Cristo viene inchiodato alla croce; sullo sfondo ci sono la Madonna e le donne dolenti.
dipinto	Raffigura il Cristo morto con il corpo abbandonato in grembo alla Madonna; intorno a lei san Giovanni e la Maddalena dolenti	Cristo morto è in grembo alla Madonna; intorno ci sono San Giovanni e la Maddalena tristi.
dipinto	Raffigura il Cristo morto che viene calato nel sepolcro; alla scena assistono le pie donne	Cristo morto viene calato nel sepolcro; le donne pie assistono alla scena.
dipinto	Raffigura il Cristo caricato della croce da soldati e carnefici	Cristo carica la croce aiutato dai soldati e carnefici.
dipinto	Raffigura il Cristo che si accascia sotto il peso della croce; su di lui infieriscono i soldati ed i carnefici	Cristo cade sotto il peso della croce; i soldati e carnefici lo colpiscono.
dipinto	Raffigura il Cristo che, sulla via del Calvario, incontra la Madonna e le pie donne, mentre su di lui infieriscono i soldati ed i carnefici	Cristo, sulla via del Calvario, incontra la Madonna e le donne pie mentre i soldati e carnefici lo colpiscono.
dipinto	Raffigura il Cristo che, sulla via del Calvario, viene aiutato da Simone il Cireneo a portare la croce	Cristo, sulla via del Calvario, viene aiutato da Simone il Cireneo a portare la croce.
dipinto	Raffigura il Cristo che, sulla via del Calvario, incontra la Veronica che mostra il velo con l'effigie di Cristo; sullo sfondo i soldati	Cristo, sulla via del Calvario, incontra Veronica che mostra il velo con il suo volto; sullo sfondo ci sono i soldati.
dipinto	Raffigura il Cristo che si accascia sotto il peso della croce; su di lui infieriscono i soldati ed i carnefici	Cristo cade sotto il peso della croce; i soldati e carnefici lo colpiscono.
dipinto	Raffigura il Cristo che si volta a consolare le donne di Gerusalemme che piangono lungo la sua salita al Calvario. In primo piano una bella figura di bimbo che si volge verso lo spettatore	Cristo si volta a consolare le donne di Gerusalemme che piangono lungo la sua salita al Calvario. In primo piano c'è un bambino che guarda lo spettatore.
dipinto	Raffigura il Cristo che si accascia sotto il peso della croce; su di lui infieriscono i soldati ed i carnefici	Cristo cade sotto il peso della croce; i soldati e carnefici lo colpiscono.
statua (elemento d'insieme)	La scultura (identificata dalla scheda cartacea come Tobia e l'angelo) raffigura un angelo abbigliato con un ampio abito svolazzante che tiene per mano un bimbo ed indica il cielo con la mano destra	Scultura di un angelo con ampio abito che tiene per mano un bambino e indica il cielo.
statua (elemento d'insieme)	La scultura raffigura l'arcangelo Michele vestito con armatura, nell'atto di pesare le anime sulla bilancia; sotto i suoi piedi (in parte rovinata e consunta) è la figura di Satana	Scultura dell'arcangelo Michele in armatura che pesa le anime sulla bilancia; sotto i suoi piedi c'è Satana (in parte rovinata).
dipinto (serie)	I 15 misteri del Rosario sono collocati tutto intorno alla nicchia centrale; presentano cornici in legno dorato con volute fogliacee. I toni sono bruni, tendenti al monocromo	I 15 misteri del Rosario sono intorno alla nicchia centrale; cornici in legno dorato con foglie. Toni bruni e monocromi.
dipinto	Affresco di forma ovale raffigurante Cristo in un alone di luce circondato da angeli	Affresco ovale con Cristo in un alone di luce circondato da angeli.
decorazione a intaglio	Due pannelli rettangolari con cornici decorate da motivi vegetali stilizzati	Due pannelli rettangolari con cornici decorate con motivi vegetali stilizzati.
dipinto (elemento d'insieme)	Dipinto raffigurante il primo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del primo Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante il decimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del decimo Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante il tredicesimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del tredicesimo Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante il quattordicesimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del quattordicesimo Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante il quindicesimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del quindicesimo Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante il secondo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del secondo Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante il quarto Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del quarto Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante il sesto Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto del sesto Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante l'ottavo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Dipinto dell'ottavo Mistero del Rosario, secondo l'iconografia del Seicento.
dipinto (elemento d'insieme)	Dipinto raffigurante La Nascita di Maria, all'interno di un ciclo mariologico dei più tradizionali e destinato fin dall'origine a questa chiesa che è dedicata all'Assunta	Dipinto della Nascita di Maria, parte di un ciclo tradizionale dedicato all'Assunta.
dipinto (elemento d'insieme)	Dipinto raffigurante L'Annunciazione, all'interno di un ciclo mariologico dei più tradizionali e destinato fin dall'origine a questa chiesa che è dedicata all'Assunta	Dipinto dell'Annunciazione, parte di un ciclo tradizionale dedicato all'Assunta.
dipinto (elemento d'insieme)	Dipinto raffigurante La Presentazione di Gesù al tempio, all'interno di un ciclo mariologico dei più tradizionali e destinato fin dall'origine a questa chiesa che è dedicata all'Assunta	Dipinto della Presentazione di Gesù al tempio, parte di un ciclo tradizionale dedicato all'Assunta.
decorazione a sbalzo (opera isolata)	Decorazione posta sulla base dell'ostensorio e raffigurante San Barnaba, titolare della chiesa	Decorazione sulla base dell'ostensorio con San Barnaba.
decorazione a sbalzo (opera isolata)	Decorazione posta sulla base dell'ostensorio e raffigurante San Baudolino, titolare della chiesa	Decorazione sulla base dell'ostensorio con San Baudolino.
dipinto (elemento d'insieme)	S. Gregorio in veste di pontefice è raffigurato sul lato sinistro del dipinto, in atto di scendere lo scalone, per fare egli stesso l'elemosina ad una folla di poveri inginocchiati	San Gregorio, in veste di pontefice, scende lo scalone per fare elemosina ai poveri inginocchiati.
dipinto (elemento d'insieme)	L'affresco centrale raffigura San Gregorio circondato da angeli che lo elevano sino alla Gloria dei cieli	Affresco centrale con San Gregorio circondato da angeli che lo portano alla gloria dei cieli.
dipinto (elemento d'insieme)	Un medaglione in stucco incornicia l'evangelista Giovanni, rappresentato con il suo simbolo dell'acquila	Medaglione in stucco con l'evangelista Giovanni e il suo simbolo, l'aquila.
dipinto (elemento d'insieme)	Sul lato sinistro dell'affresco è raffigurato Giacobbe addormentato, mentre sogna una scala elevata fino al cielo, dalla quale scendono e salgono degli angeli	A sinistra dell'affresco, Giacobbe addormentato sogna una scala con angeli.
dipinto (elemento d'insieme)	Nell'affresco è raffigurato Giobbe, spogliato di tutti i beni, abbandonato da tutti, ingiuriato dalla moglie e dai tre amici, Elifaz, Baldad, Sofar	Affresco con Giobbe spogliato di tutti i beni, abbandonato e ingiuriato.
dipinto (elemento d'insieme)	Nell'affresco è raffigurato l'episodio di Giuditta mentre entra con la sua ancella nella tenda di Olofern ee si appresta a troncarne la testa per riportarla in Betulia	Affresco con Giuditta che entra nella tenda di Oloferne per tagliargli la testa.
dipinto (elemento d'insieme)	Al centro del dipinto è raffigurato Mosè sul monte Sinai, mentre riceve da Dio le tavole dei Dieci Comandamenti	Al centro del dipinto, Mosè sul monte Sinai riceve le tavole dei Dieci Comandamenti da Dio.
dipinto (elemento d'insieme)	La Carità è raffigurata con simbolo di una fiamma sul capo in atto di allattare un bambino. L'affresco è di colore chiaro ad imitazione del marmo	La Carità è raffigurata con una fiamma sul capo mentre allatta un bambino. L'affresco è chiaro e imita il marmo.
stallo (elemento d'insieme)	Lo stallo reca un intaglio a formelle mistilinee	Lo stallo ha un intaglio a formelle mistilinee.
