original_object	original_description	sonnet_simplification
pianeta (elemento d'insieme)	Pianeta confezionata in tela di seta viola con ricamo in filo d'argento eseguito a punto erba, punto lanciato, punto stuoia e altri. Ampie volute fogliacee con grandi fiori frastagliati fan quasi cornice alla successione dei canestri con mazzi di fiori nella zona centrale. Gallone ricamato con motivo a graffe di foglie nei bordi, ramoscelli intrecciati a nastro nel centro	Questa pianeta è viola con ricami d'argento. Ci sono disegni di foglie, fiori e cesti di fiori. I bordi hanno ricami di rametti intrecciati.
decorazione a intaglio (serie)	Le quattro formelle raffigurano gli evangelisti	Queste sono quattro piccole immagini che mostrano i quattro evangelisti.
decorazione a intaglio	Raffigura un interno; in primo piano le ancelle intente a lavare la neonata. Sullo sfondo si vede sant'Anna nel letto	Questo dipinto mostra la nascita di Maria. Si vedono delle donne che lavano la bambina e Sant'Anna a letto.
dipinto (elemento d'insieme)	Occupa la cupola del presbiterio. Raffigura la Madonna portata in cielo dagli angeli	Questo è un grande dipinto sul soffitto della chiesa. Mostra Maria portata in cielo dagli angeli.
dipinto (elemento d'insieme)	Occupa la volta della navata principale; raffigura la Trinità affiancata dalle virtù teologali e dai dottori della chiesa	Questo è un grande dipinto sul soffitto della chiesa. Mostra Dio, Gesù e lo Spirito Santo con figure che rappresentano la fede, la speranza e l'amore, e alcuni santi importanti.
dipinto (elemento d'insieme)	Entro una cornice polilobata è raffigurata la Nascita della Vergine	Questo dipinto mostra la nascita di Maria. È in una cornice con molti lati curvi.
dipinto (elemento d'insieme)	Entro una cornice polilobata è raffigurata la Pentecoste	Questo dipinto mostra quando lo Spirito Santo scende sugli apostoli. È in una cornice con molti lati curvi.
dipinto	Raffigura il Cristo trascinato da soldati e carnefici; sulla destra un cane ringhia al suo passaggio	Questo dipinto mostra Gesù trascinato da soldati. C'è un cane che abbaia al suo passaggio.
dipinto	Raffigura il Cristo seduto che viene spogliato dai carnefici ed abbeverato di fiele	Questo dipinto mostra Gesù seduto. Alcune persone cattive gli tolgono i vestiti e gli danno da bere qualcosa di brutto.
dipinto	Raffigura il Cristo che viene inchiodato alla croce; sullo sfondo si vedono la Madonna e le donne dolenti	Questo dipinto mostra Gesù che viene messo sulla croce. Dietro si vedono Maria e altre donne tristi.
dipinto	Raffigura il Cristo morto con il corpo abbandonato in grembo alla Madonna; intorno a lei san Giovanni e la Maddalena dolenti	Questo dipinto mostra Gesù morto sulle ginocchia di Maria. Vicino ci sono Giovanni e Maria Maddalena molto tristi.
dipinto	Raffigura il Cristo morto che viene calato nel sepolcro; alla scena assistono le pie donne	Questo dipinto mostra Gesù morto che viene messo nella tomba. Ci sono delle donne che guardano.
dipinto	Raffigura il Cristo caricato della croce da soldati e carnefici	Questo dipinto mostra Gesù che porta la croce. Ci sono soldati e persone cattive intorno a lui.
dipinto	Raffigura il Cristo che si accascia sotto il peso della croce; su di lui infieriscono i soldati ed i carnefici	Questo dipinto mostra Gesù che cade mentre porta la croce. I soldati e le persone cattive lo trattano male.
dipinto	Raffigura il Cristo che, sulla via del Calvario, incontra la Madonna e le pie donne, mentre su di lui infieriscono i soldati ed i carnefici	Questo dipinto mostra Gesù che incontra Maria e altre donne mentre porta la croce. I soldati e le persone cattive lo trattano male.
dipinto	Raffigura il Cristo che, sulla via del Calvario, viene aiutato da Simone il Cireneo a portare la croce	Questo dipinto mostra Gesù che riceve aiuto da Simone per portare la croce.
dipinto	Raffigura il Cristo che, sulla via del Calvario, incontra la Veronica che mostra il velo con l'effigie di Cristo; sullo sfondo i soldati	Questo dipinto mostra Gesù che incontra la Veronica. Lei mostra un panno con il viso di Gesù. Dietro ci sono i soldati.
dipinto	Raffigura il Cristo che si accascia sotto il peso della croce; su di lui infieriscono i soldati ed i carnefici	Questo dipinto mostra Gesù che cade di nuovo mentre porta la croce. I soldati e le persone cattive lo trattano male.
dipinto	Raffigura il Cristo che si volta a consolare le donne di Gerusalemme che piangono lungo la sua salita al Calvario. In primo piano una bella figura di bimbo che si volge verso lo spettatore	Questo dipinto mostra Gesù che si gira per parlare con le donne di Gerusalemme che piangono. Davanti c'è un bambino che guarda chi vede il dipinto.
dipinto	Raffigura il Cristo che si accascia sotto il peso della croce; su di lui infieriscono i soldati ed i carnefici	Questo dipinto mostra Gesù che cade ancora una volta mentre porta la croce. I soldati e le persone cattive lo trattano male.
statua (elemento d'insieme)	La scultura (identificata dalla scheda cartacea come Tobia e l'angelo) raffigura un angelo abbigliato con un ampio abito svolazzante che tiene per mano un bimbo ed indica il cielo con la mano destra	Questa statua mostra un angelo con un vestito largo che tiene la mano di un bambino. L'angelo indica il cielo con l'altra mano.
statua (elemento d'insieme)	La scultura raffigura l'arcangelo Michele vestito con armatura, nell'atto di pesare le anime sulla bilancia; sotto i suoi piedi (in parte rovinata e consunta) è la figura di Satana	Questa statua mostra l'arcangelo Michele con un'armatura. Sta pesando le anime su una bilancia. Sotto i suoi piedi c'è Satana, ma la statua è un po' rovinata.
dipinto (serie)	I 15 misteri del Rosario sono collocati tutto intorno alla nicchia centrale; presentano cornici in legno dorato con volute fogliacee. I toni sono bruni, tendenti al monocromo	Questi sono 15 piccoli dipinti che mostrano storie importanti della vita di Gesù e Maria. Sono messi intorno a una nicchia centrale e hanno cornici dorate con foglie. I colori sono soprattutto marroni.
dipinto	Affresco di forma ovale raffigurante Cristo in un alone di luce circondato da angeli	Questo è un dipinto ovale che mostra Gesù circondato da luce e angeli.
decorazione a intaglio	Due pannelli rettangolari con cornici decorate da motivi vegetali stilizzati	Questi sono due dipinti rettangolari con cornici decorate con disegni di piante.
dipinto (elemento d'insieme)	Dipinto raffigurante il primo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il primo Mistero del Rosario, una storia importante della vita di Maria.
dipinto (elemento d'insieme)	Dipinto raffigurante il decimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il decimo Mistero del Rosario, una storia importante della vita di Gesù.
dipinto (elemento d'insieme)	Dipinto raffigurante il tredicesimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il tredicesimo Mistero del Rosario, un'altra storia importante della vita di Gesù.
dipinto (elemento d'insieme)	Dipinto raffigurante il quattordicesimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il quattordicesimo Mistero del Rosario, una storia importante della vita di Gesù.
dipinto (elemento d'insieme)	Dipinto raffigurante il quindicesimo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il quindicesimo Mistero del Rosario, l'ultima storia importante della vita di Maria.
dipinto (elemento d'insieme)	Dipinto raffigurante il secondo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il secondo Mistero del Rosario, una storia importante della vita di Maria.
dipinto (elemento d'insieme)	Dipinto raffigurante il quarto Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il quarto Mistero del Rosario, una storia importante della vita di Gesù.
dipinto (elemento d'insieme)	Dipinto raffigurante il sesto Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra il sesto Mistero del Rosario, una storia importante della vita di Gesù.
dipinto (elemento d'insieme)	Dipinto raffigurante l'ottavo Mistero del Rosario, secondo l'iconografia ormai bene stabilita nel Seicento	Questo dipinto mostra l'ottavo Mistero del Rosario, una storia importante della vita di Gesù.
dipinto (elemento d'insieme)	Dipinto raffigurante La Nascita di Maria, all'interno di un ciclo mariologico dei più tradizionali e destinato fin dall'origine a questa chiesa che è dedicata all'Assunta	Questo dipinto mostra la nascita di Maria. Fa parte di un gruppo di dipinti sulla vita di Maria in questa chiesa.
dipinto (elemento d'insieme)	Dipinto raffigurante L'Annunciazione, all'interno di un ciclo mariologico dei più tradizionali e destinato fin dall'origine a questa chiesa che è dedicata all'Assunta	Questo dipinto mostra l'angelo che annuncia a Maria che avrà Gesù. Fa parte di un gruppo di dipinti sulla vita di Maria in questa chiesa.
dipinto (elemento d'insieme)	Dipinto raffigurante La Presentazione di Gesù al tempio, all'interno di un ciclo mariologico dei più tradizionali e destinato fin dall'origine a questa chiesa che è dedicata all'Assunta	Questo dipinto mostra Maria e Giuseppe che portano Gesù al tempio da bambino. Fa parte di un gruppo di dipinti sulla vita di Maria in questa chiesa.
decorazione a sbalzo (opera isolata)	Decorazione posta sulla base dell'ostensorio e raffigurante San Barnaba, titolare della chiesa	Questa decorazione sulla base dell'ostensorio (un oggetto speciale per mostrare l'ostia) mostra San Barnaba, il santo a cui è dedicata la chiesa.
decorazione a sbalzo (opera isolata)	Decorazione posta sulla base dell'ostensorio e raffigurante San Baudolino, titolare della chiesa	Questa decorazione sulla base dell'ostensorio mostra San Baudolino, il santo a cui è dedicata la chiesa.
dipinto (elemento d'insieme)	S. Gregorio in veste di pontefice è raffigurato sul lato sinistro del dipinto, in atto di scendere lo scalone, per fare egli stesso l'elemosina ad una folla di poveri inginocchiati	Questo dipinto mostra San Gregorio, vestito da papa, che scende le scale per dare l'elemosina a molti poveri inginocchiati.
dipinto (elemento d'insieme)	L'affresco centrale raffigura San Gregorio circondato da angeli che lo elevano sino alla Gloria dei cieli	Questo affresco al centro mostra San Gregorio circondato da angeli che lo portano in cielo.
dipinto (elemento d'insieme)	Un medaglione in stucco incornicia l'evangelista Giovanni, rappresentato con il suo simbolo dell'acquila	Questo medaglione decorato mostra San Giovanni evangelista con la sua aquila.
dipinto (elemento d'insieme)	Sul lato sinistro dell'affresco è raffigurato Giacobbe addormentato, mentre sogna una scala elevata fino al cielo, dalla quale scendono e salgono degli angeli	Questo affresco mostra Giacobbe che dorme e sogna una scala che va fino al cielo, con angeli che salgono e scendono.
dipinto (elemento d'insieme)	Nell'affresco è raffigurato Giobbe, spogliato di tutti i beni, abbandonato da tutti, ingiuriato dalla moglie e dai tre amici, Elifaz, Baldad, Sofar	Questo affresco mostra Giobbe, che ha perso tutto e tutti lo hanno abbandonato. Sua moglie e tre amici lo insultano.
dipinto (elemento d'insieme)	Nell'affresco è raffigurato l'episodio di Giuditta mentre entra con la sua ancella nella tenda di Olofern ee si appresta a troncarne la testa per riportarla in Betulia	Questo affresco mostra Giuditta che entra nella tenda di Oloferne con la sua serva. Sta per tagliare la testa di Oloferne.
dipinto (elemento d'insieme)	Al centro del dipinto è raffigurato Mosè sul monte Sinai, mentre riceve da Dio le tavole dei Dieci Comandamenti	Questo dipinto mostra Mosè sul monte Sinai che riceve da Dio le tavole con i Dieci Comandamenti.
dipinto (elemento d'insieme)	La Carità è raffigurata con simbolo di una fiamma sul capo in atto di allattare un bambino. L'affresco è di colore chiaro ad imitazione del marmo	Questo affresco mostra la Carità come una donna con una fiamma sulla testa che allatta un bambino. È di colore chiaro come il marmo.
stallo (elemento d'insieme)	Lo stallo reca un intaglio a formelle mistilinee	Questo stallo (un sedile speciale in chiesa) ha decorazioni intagliate con forme curve.
